 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 只爱陌生人,王菲 , 1999-09-10 , Import , CD , 流行
 不想放手,陈奕迅 , 2008-06-30 , 专辑 , CD , 流行
 Under My Skin,Avril Lavigne , 2004-05-12 , Import , Audio CD , 摇滚
 你在煩惱什麼,苏打绿 , 2011-11-11 , 专辑 , CD , 流行
